Date,Ret,sigma,VaR,Exception
1995-01-03,-0.0003483876670200084,0.00447213595499958,0.007356009045801148,False
1995-01-04,0.0034850167765357242,0.005296088139996601,0.008711289785728089,False
1995-01-05,-0.0008030974088426426,0.006006459573470818,0.009879746814560872,False
1995-01-06,0.000738578013977266,0.005889737585184216,0.009687756228782667,False
1995-01-09,0.0003255926071876303,0.005838989854591707,0.009604283640058022,False
1995-01-10,0.0018445110430714022,0.005803440809308909,0.00954581066398995,False
1995-01-11,-4.32962231481249e-05,0.0059019368419245015,0.009707822220478038,False
1995-01-12,-4.32980977922288e-05,0.005825280527116429,0.009581733803037246,False
1995-01-13,0.009379572522542061,0.005794334058194238,0.00953083139138924,False
1995-01-16,0.007318076255299566,0.008283735579642213,0.013625532512881455,False
1995-01-17,0.0014273786545296108,0.008298783410399614,0.013650283991880518,False
1995-01-18,-0.0007233209417717985,0.006954342985965838,0.011438876283530445,False
1995-01-19,-0.0058759214257377524,0.006289231417311909,0.010344865107502646,False
1995-01-20,-0.004647206219581344,0.0070450233334446,0.011588032181974106,False
1995-01-23,0.002237635014926708,0.006963587564354868,0.011454082261823277,False
1995-01-24,8.582284873802227e-05,0.006434238485678435,0.010583380509838926,False
1995-01-25,0.003391613469441893,0.0060467111871479705,0.009945954827308385,False
1995-01-26,0.0018826052460955121,0.006263090550419341,0.01030186720778275,False
1995-01-27,0.0044200716797478815,0.006091650211736665,0.01001987294489476,False
1995-01-30,-0.00399669410499731,0.006531316435643296,0.010743059527935642,False
1995-01-31,0.004076760280959669,0.006591863413373323,0.010842650443855828,False
1995-02-01,-4.255558744677353e-05,0.006635439326796084,0.010914326443096978,False
1995-02-02,0.0050808142654864665,0.006132890543214187,0.010087707253702245,False
1995-02-03,0.012394477227626972,0.006735785626500202,0.011079381418116456,False
1995-02-06,0.005202174932023529,0.009979857188403655,0.01641540429280348,False
1995-02-07,-0.000685906367609017,0.0084061923252875,0.01382695593510078,False
1995-02-08,0.000790341302345114,0.0069608774433931545,0.011449624509529925,False
1995-02-09,-0.0020781811671972358,0.0062953460319868735,0.010354922753628171,False
1995-02-10,0.002644763520086923,0.0061302599822893695,0.010083380366024141,False
1995-02-13,0.0003946392297424502,0.006150605223151329,0.010116845309247136,False
1995-02-14,0.0018685643334606487,0.005932476202487731,0.009758054998465245,False
1995-02-15,0.004123968603227927,0.005956032456639722,0.009796801588544537,False
1995-02-16,0.0014033763721665556,0.006402544483717564,0.01053124851576098,False
1995-02-17,-0.006697992649317851,0.00609793542464784,0.01003021120014787,False
1995-02-21,0.0015561134478160189,0.0072676797390498985,0.011954269378297959,False
1995-02-22,0.004868259022066219,0.006488163310271106,0.010672078953152902,False
1995-02-23,0.003793260711747083,0.0068057684076576475,0.011194492849527431,False
1995-02-24,0.0024644821222443458,0.00665454162045606,0.010945746920106681,False
1995-02-27,-0.00880946330159559,0.00633582185069132,0.01042149955082801,False
1995-02-28,0.007399634184492396,0.008191441440573375,0.013473722163487713,False
1995-03-01,-0.0035700792926584937,0.008291062632465184,0.013637584442292185,False
1995-03-02,-0.0010707073127237934,0.00725223236614298,0.011928860710945142,False
1995-03-03,0.0005977943994620582,0.006441778898473682,0.010595783385173899,False
1995-03-06,0.000432598562844997,0.006061480793365562,0.009970248667664036,False
1995-03-07,-0.0072277453284624905,0.00589673438183933,0.009699264935137872,False
1995-03-08,0.0021156973587043303,0.007403020435013737,0.012176885012928214,False
1995-03-09,4.137309967991937e-05,0.00661153195182053,0.010875002310657548,False
1995-03-10,0.013266832823356002,0.006122550660740045,0.0100706996605124,False
1995-03-13,0.0009804134100068604,0.01026634267412119,0.016886630983054922,False
1995-03-14,0.005795382245780358,0.007908451235406415,0.013008244698127098,False
1995-03-15,-0.0020491589792097516,0.007645392241540193,0.012575551157964038,False
1995-03-16,0.00717654501934884,0.006712706609083371,0.011041419812611905,False
1995-03-17,0.0002220080319571783,0.007656715442913423,0.012594176166811496,False
1995-03-20,0.0012512633471181917,0.006593165520142882,0.010844792218898412,False
1995-03-21,-0.0021566653921273205,0.00616556539304685,0.010141452598959594,False
1995-03-22,0.0012119619276389545,0.006088198493135278,0.010014195373034053,False
1995-03-23,0.0005648899321251295,0.005950966731745725,0.009788469212579509,False
1995-03-24,0.010121965679073221,0.005856043226539939,0.009632333940758823,False
1995-03-27,0.004451386301672079,0.008642856737894954,0.01421623425254849,False
1995-03-28,0.0013910611750939984,0.007602994478453606,0.012505813043576435,False
1995-03-29,-0.001547924209739189,0.006625423042561129,0.010897851121644537,False
1995-03-30,-0.0017888257452380704,0.006206200120911238,0.01020829077846752,False
1995-03-31,-0.0030066703775104443,0.006056956908799177,0.009962807539727107,False
1995-04-03,0.0022767969892574973,0.006187949377751854,0.010178270977387247,False
1995-04-04,0.00675497451324148,0.006114720665146089,0.010057820463860667,False
1995-04-05,0.0006531885965716965,0.007294367401970005,0.011998166677446956,False
1995-04-06,0.0010087228137328655,0.006438461031570013,0.010590325979763657,False
1995-04-07,0.0006718819331616174,0.006081818878263007,0.010003701840372844,False
1995-04-10,0.0011650349213193172,0.005914049245655815,0.00972774535168659,False
1995-04-11,-0.0029190962127156692,0.0058765052488000255,0.00966599097228809,False
1995-04-12,0.003244147732566017,0.006100965059341521,0.010035194505762108,False
1995-04-13,0.004061750393748268,0.006252879949783758,0.010285072264293958,False
1995-04-17,-0.006087634139850536,0.006499117599413691,0.010690097155379759,False
1995-04-18,-0.001501610243399748,0.007191601184484094,0.01182913129188717,False
